account_id,customer_id,account_type,balance,velocity_index,opened_date,dormancy_score
ACC-0001,CUST-0045,Savings,292653.06,2.76,2025-07-12,0.1675
ACC-0002,CUST-0006,Savings,470537.21,2.57,2026-02-04,0.1244
ACC-0003,CUST-0002,Savings,211105.14,0.73,2026-05-26,0.2149
ACC-0004,CUST-0030,Savings,2718.27,0.45,2025-04-24,0.209
ACC-0005,CUST-0023,Fixed Deposit,104449.63,2.0,2026-05-13,0.0269
ACC-0006,CUST-0042,Savings,1000,1.96,2025-09-08,0.2657
ACC-0007,CUST-0004,Current,2079.54,0.5,2026-02-24,0.0846
ACC-0008,CUST-0043,Savings,169550.41,0.8,2025-02-08,0.1399
ACC-0009,CUST-0001,Current,216092.38,0.7,2024-05-26,0.1986
ACC-0010,CUST-0003,Current,149877.54,2.94,2025-08-28,0.1579
ACC-0011,CUST-0038,Current,34431.45,1.98,2025-11-12,0.1395
ACC-0012,CUST-0008,Savings,55841.62,1.4,2026-03-04,0.008
ACC-0013,CUST-0030,Current,13002.03,0.6,2025-12-26,0.2887
ACC-0014,CUST-0037,Savings,13371.12,1.29,2026-04-15,0.1045
ACC-0015,CUST-0017,Savings,28459.07,1.18,2025-12-09,0.2612
ACC-0016,CUST-0008,Current,1509.02,0.33,2025-12-12,0.3019
ACC-0017,CUST-0048,Savings,323331.43,0.82,2025-01-23,0.32
ACC-0018,CUST-0009,NRI,6879.75,0.86,2025-12-04,0.1095
ACC-0019,CUST-0012,Savings,975804.14,0.65,2026-05-05,0.0738
ACC-0020,CUST-0021,NRI,35479.64,2.88,2026-01-19,0.1581
ACC-0021,CUST-0027,Savings,29887.48,2.99,2023-07-08,0.2696
ACC-0022,CUST-0050,Fixed Deposit,23151.58,0.17,2026-04-18,0.0759
ACC-0023,CUST-0010,Savings,93749.21,0.46,2024-11-23,0.318
ACC-0024,CUST-0010,Savings,1000,1.68,2025-02-16,0.1417
ACC-0025,CUST-0011,Savings,2527.6,0.99,2025-07-29,0.3766
ACC-0026,CUST-0021,Savings,11488.9,2.39,2025-10-29,0.2663
ACC-0027,CUST-0025,Fixed Deposit,12393.28,2.9,2025-11-16,0.1988
ACC-0028,CUST-0050,NRI,139630.59,0.18,2026-01-24,0.2367
ACC-0029,CUST-0047,Current,31690.52,0.9,2025-09-28,0.165
ACC-0030,CUST-0037,Savings,11919.7,0.69,2025-12-24,0.0685
ACC-0031,CUST-0050,Savings,138193.03,0.56,2026-03-17,0.4155
ACC-0032,CUST-0008,Current,101108.55,1.18,2025-12-30,0.1955
ACC-0033,CUST-0018,Savings,360313.69,0.84,2025-03-07,0.3347
ACC-0034,CUST-0019,Fixed Deposit,56504.76,1.14,2024-07-14,0.2789
ACC-0035,CUST-0016,Current,64994.87,0.98,2025-09-21,0.0923
ACC-0036,CUST-0047,Current,353078.87,2.31,2025-12-29,0.2241
ACC-0037,CUST-0047,Current,68580.62,1.03,2026-02-01,0.0976
ACC-0038,CUST-0028,Savings,62772.26,1.14,2024-09-22,0.1969
ACC-0039,CUST-0020,Current,110807.78,1.15,2025-03-20,0.0901
ACC-0040,CUST-0032,Savings,211550.18,1.35,2025-12-27,0.0425
ACC-0041,CUST-0022,Savings,22395.59,2.28,2026-06-05,0.0868
ACC-0042,CUST-0016,Savings,1093.22,2.71,2025-08-09,0.2754
ACC-0043,CUST-0044,Savings,2840.45,0.81,2025-05-23,0.1893
