ip_address,geo_location,is_vpn,is_tor,customer_ids
10.133.189.255,"Coimbatore, India",False,False,"[""CUST-0015""]"
10.135.235.53,"Bangalore, India",False,False,"[""CUST-0026""]"
10.222.127.36,"Lucknow, India",False,False,"[""CUST-0005""]"
172.26.9.165,"Mumbai, India",False,False,"[""CUST-0041""]"
172.19.179.94,"Lucknow, India",False,False,"[""CUST-0011""]"
172.22.21.32,"Kolkata, India",False,False,"[""CUST-0024"", ""CUST-0016""]"
172.29.244.46,"Chandigarh, India",False,False,"[""CUST-0026""]"
10.100.225.201,"Jaipur, India",False,False,"[""CUST-0011"", ""CUST-0034""]"
172.26.144.255,"Coimbatore, India",False,False,"[""CUST-0023""]"
192.168.63.206,"Chennai, India",False,False,"[""CUST-0007""]"
192.168.158.90,"Delhi, India",False,False,"[""CUST-0049""]"
192.168.206.7,"Indore, India",False,False,"[""CUST-0030""]"
192.168.65.43,"Lucknow, India",False,False,"[""CUST-0037""]"
10.194.31.84,"Mumbai, India",False,False,"[""CUST-0021""]"
192.168.89.26,"Pune, India",False,False,"[""CUST-0018""]"
192.168.207.233,"Kochi, India",False,False,"[""CUST-0019"", ""CUST-0005"", ""CUST-0029""]"
192.168.155.149,"Kolkata, India",False,False,"[""CUST-0040""]"
172.26.79.221,"Ahmedabad, India",False,False,"[""CUST-0048""]"
172.22.214.164,"Ahmedabad, India",False,False,"[""CUST-0013""]"
192.168.86.225,"Nagpur, India",False,False,"[""CUST-0029""]"
192.168.171.157,"Delhi, India",True,False,"[""CUST-0006""]"
10.120.64.178,"Lucknow, India",False,False,"[""CUST-0029""]"
192.168.101.244,"Indore, India",False,False,"[""CUST-0019""]"
10.125.92.0,"Mumbai, India",False,False,"[""CUST-0041""]"
172.18.84.155,"Chandigarh, India",False,False,"[""CUST-0025""]"
172.22.56.208,"Pune, India",False,False,"[""CUST-0039""]"
192.168.253.31,"Kochi, India",False,False,"[""CUST-0023""]"
172.16.45.108,"Mumbai, India",False,False,"[""CUST-0039""]"
10.112.11.242,"Kochi, India",False,False,"[""CUST-0022""]"
10.237.217.123,"Mumbai, India",False,False,"[""CUST-0044""]"
10.62.34.182,"Pune, India",False,False,"[""CUST-0024"", ""CUST-0014"", ""CUST-0012""]"
172.30.222.91,"Delhi, India",True,False,"[""CUST-0015""]"
192.168.162.116,"Jaipur, India",False,False,"[""CUST-0007""]"
172.29.167.220,"Nagpur, India",False,False,"[""CUST-0003""]"
192.168.81.125,"Delhi, India",False,False,"[""CUST-0025""]"
192.168.230.111,"Bangalore, India",False,False,"[""CUST-0011""]"
172.24.223.188,"Lucknow, India",False,False,"[""CUST-0016""]"
192.168.122.126,"Chennai, India",False,False,"[""CUST-0029""]"
172.25.36.175,"Chennai, India",False,False,"[""CUST-0031""]"
10.163.176.248,"Hyderabad, India",False,False,"[""CUST-0029""]"
